T;K;D;M;M;Y;D;K;I;A;Z;W;K;E;P;M;I;P;U;Q;M;J;J;P;U;N;G;Y
R;Z;S;H;Z;G;E;A;A;V;A;X;P;R;I;O;A;G;W;N;X;S;T;L;Z;H;H;A
W;O;I;U;L;C;I;N;W;D;S;P;O;H;E;T;R;F;A;D;F;X;F;P;G;O;H;Y
N;N;D;X;P;X;Z;F;L;G;T;J;N;F;R;E;E;Z;F;Y;Z;U;D;A;C;D;F;T
D;H;W;A;W;P;I;Y;X;V;V;H;T;A;C;V;Z;M;Z;Z;B;N;Z;H;Z;O;I;U
R;P;C;W;B;F;I;K;Y;M;J;M;B;O;L;Y;I;N;C;V;I;R;R;N;C;U;Y;S
C;S;O;D;C;A;M;D;G;I;T;C;R;S;C;H;X;Y;E;L;A;U;R;E;L;O;Q;C
E;P;O;B;Q;M;R;X;H;C;G;T;H;K;G;J;Z;S;E;A;O;R;U;B;P;S;Y;D
F;Q;L;C;N;A;P;G;Q;H;A;K;H;S;R;A;W;Y;H;E;S;K;M;S;C;C;U;H
V;C;Y;I;S;H;C;I;I;R;R;M;B;D;O;K;D;U;Y;R;P;O;T;M;T;V;I;Y
M;L;R;N;P;U;J;L;K;E;G;F;O;C;R;I;D;X;U;T;M;T;F;G;S;Y;J;K
G;E;Z;A;D;Y;J;C;A;F;W;Y;W;G;L;A;P;C;T;V;D;O;T;T;P;D;Q;R
H;K;N;R;Q;Q;V;Q;R;B;G;D;K;Q;K;K;W;X;F;M;Z;F;D;M;J;Y;O;C
M;Z;L;X;J;Y;D;Z;N;S;E;A;U;W;I;Z;X;W;L;E;D;F;T;J;Q;D;Y;T
Z;L;Q;Y;C;N;U;E;G;T;E;Z;K;J;N;A;A;K;Z;M;T;K;P;M;E;E;R;Z
U;A;A;L;O;M;U;E;Y;Z;Z;X;F;Z;L;U;E;T;V;L;S;Z;H;G;L;S;H;L
E;K;I;Z;R;N;Y;B;H;W;R;I;L;U;P;L;G;C;O;X;X;W;O;U;D;B;E;O
X;U;F;A;K;O;H;U;L;V;E;E;F;N;C;T;P;G;U;S;L;C;J;A;I;X;F;Y
U;D;J;P;J;O;T;L;A;E;B;Q;S;W;T;E;C;D;Q;A;A;R;B;R;K;S;U;D
B;L;D;Q;C;K;D;F;J;R;G;A;K;T;P;N;O;V;U;K;L;A;Y;G;Q;S;D;E
Y;X;T;X;R;N;I;U;O;N;Y;X;L;N;R;B;F;X;H;Y;I;U;X;V;Y;D;S;G
D;C;F;S;N;Y;L;Z;C;M;V;I;B;H;F;E;Z;M;A;I;S;H;O;C;P;K;X;F
L;Y;M;Q;D;Y;O;N;N;T;Q;P;E;D;M;D;G;U;V;V;Q;U;U;K;O;M;Y;T
R;F;X;W;D;O;K;L;G;S;T;X;T;Z;E;Z;B;A;T;T;I;K;O;Q;S;D;J;B
P;R;W;H;I;H;K;B;U;T;J;B;I;T;P;T;B;T;R;B;E;M;S;H;H;L;E;J
I;C;T;P;N;T;K;D;V;Z;U;E;A;T;F;S;M;R;D;N;Q;M;P;D;H;J;F;X
M;E;D;E;X;Q;A;J;H;W;Z;O;E;G;L;J;T;R;E;M;E;X;T;H;R;S;H;U
Z;T;I;P;A;J;Z;Y;J;B;Y;E;K;X;Y;G;W;F;C;O;Z;H;X;H;A;P;A;E
